sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0245,0.9167,0.0588
6.9,3.1,5.1,2.3,virginica,0.0001,0.0369,0.963
5.1,2.5,3.0,1.1,versicolor,0.136,0.8573,0.0067
4.4,2.9,,0.2,setosa,0.6985,0.3014,0.0001
5.9,3.0,5.1,1.8,virginica,0.0046,0.3223,0.6731
5.5,3.5,1.3,0.2,setosa,0.9644,0.0356,0.0
5.6,,3.6,1.3,versicolor,0.1566,0.8077,0.0356
6.5,3.0,5.2,2.0,virginica,0.0005,0.1252,0.8743
5.3,3.7,1.5,0.2,setosa,0.9831,0.0169,0.0
5.1,3.4,1.5,,setosa,0.9081,0.0917,0.0002
6.1,2.8,4.0,1.3,versicolor,0.0243,0.8995,0.0762
5.5,2.4,3.7,1.0,versicolor,0.0344,0.953,0.0126
7.7,3.0,6.1,2.3,virginica,0.0,0.0089,0.9911
6.9,3.1,4.9,1.5,versicolor,0.0039,0.568,0.428
6.0,2.2,5.0,1.5,versicolor,0.001,0.6463,0.3527
