id,loan_status_pred,prob
58645,1,0.9805
58646,0,0.0226
58647,1,0.5222
58648,0,0.0189
58649,0,0.1024
58650,1,0.8957
58651,0,0.0046
58652,0,0.0104
58653,0,0.256
58654,0,0.025
58655,0,0.0337
58656,0,0.0773
58657,0,0.0403
58658,0,0.0125
58659,0,0.0286
58660,0,0.0879
58661,0,0.0136
58662,0,0.004
58663,0,0.0399
58664,0,0.0068
58665,0,0.0458
58666,0,0.015
58667,0,0.0068
58668,0,0.0092
58669,0,0.0115
58670,0,0.0037
58671,0,0.2456
58672,0,0.0099
58673,1,0.9301
58674,0,0.0036
58675,0,0.0205
58676,0,0.212
58677,0,0.0321
58678,0,0.0071
58679,1,0.5037
58680,1,0.962
58681,0,0.034
58682,0,0.0053
58683,0,0.0095
58684,0,0.1416
58685,0,0.1261
58686,0,0.0273
58687,1,0.5252
58688,0,0.0196
58689,0,0.3156
58690,0,0.0022
58691,0,0.0306
58692,0,0.0285
58693,0,0.0083
58694,0,0.0269
58695,1,0.8645
58696,0,0.0236
58697,0,0.0502
58698,0,0.0224
58699,0,0.019
58700,0,0.0064
58701,0,0.0109
58702,0,0.0385
58703,0,0.1227
58704,0,0.3052
58705,0,0.1754
58706,0,0.0503
58707,0,0.0181
58708,0,0.042
58709,1,0.8317
58710,0,0.0466
58711,1,0.8399
58712,0,0.0412
58713,0,0.007
58714,0,0.0296
58715,0,0.0133
58716,0,0.1193
58717,0,0.0163
58718,0,0.1037
58719,0,0.0074
58720,0,0.0034
58721,0,0.0499
58722,0,0.1608
58723,0,0.0381
58724,0,0.0187
58725,0,0.0207
58726,0,0.0184
58727,0,0.2219
58728,0,0.1294
58729,0,0.0091
58730,0,0.0072
58731,0,0.0217
58732,0,0.0718
58733,0,0.0013
58734,0,0.011
58735,0,0.0276
58736,0,0.0882
58737,0,0.0556
58738,1,0.9743
58739,0,0.0644
58740,1,0.858
58741,0,0.0411
58742,0,0.0072
58743,0,0.0264
58744,0,0.0098
58745,0,0.0095
58746,0,0.0565
58747,0,0.0085
58748,0,0.0297
58749,0,0.031
58750,0,0.0166
58751,0,0.0649
58752,1,0.9107
58753,0,0.0074
58754,0,0.048
58755,0,0.0941
58756,0,0.0113
58757,0,0.0277
58758,0,0.0117
58759,0,0.0014
58760,0,0.0025
58761,0,0.0181
58762,0,0.0109
58763,1,0.954
58764,0,0.0042
58765,0,0.0392
58766,0,0.0168
58767,0,0.0314
58768,1,0.9364
58769,0,0.0111
58770,0,0.0492
58771,0,0.0495
58772,0,0.0271
58773,0,0.0285
58774,0,0.0218
58775,1,0.9265
58776,1,0.9041
58777,0,0.015
58778,0,0.0166
58779,0,0.0419
58780,0,0.0153
58781,0,0.0152
58782,0,0.0483
58783,0,0.0659
58784,0,0.0128
58785,0,0.0073
58786,0,0.0289
58787,0,0.0303
58788,0,0.1241
58789,0,0.0502
58790,0,0.0345
58791,0,0.0953
58792,0,0.0024
58793,0,0.0576
58794,0,0.0172
58795,0,0.0461
58796,0,0.0273
58797,0,0.0317
58798,0,0.0784
58799,1,0.6246
58800,0,0.0453
58801,0,0.0089
58802,1,0.8808
58803,0,0.1779
58804,0,0.4199
58805,1,0.858
58806,0,0.0697
58807,0,0.0115
58808,0,0.0178
58809,1,0.956
58810,1,0.8779
58811,0,0.0219
58812,0,0.0438
58813,0,0.0291
58814,0,0.023
58815,0,0.0172
58816,0,0.0178
58817,0,0.0032
58818,0,0.0493
58819,0,0.1198
58820,0,0.0049
58821,0,0.0361
58822,0,0.0083
58823,0,0.1403
58824,0,0.0365
58825,0,0.0038
58826,0,0.0702
58827,0,0.0456
58828,0,0.0085
58829,0,0.0474
58830,0,0.0127
58831,0,0.1144
58832,0,0.0211
58833,0,0.0124
58834,0,0.0145
58835,1,0.9477
58836,0,0.0649
58837,0,0.1143
58838,0,0.0095
58839,0,0.0035
58840,0,0.0168
58841,1,0.8688
58842,0,0.0053
58843,0,0.0361
58844,0,0.0467
58845,0,0.0308
58846,0,0.0016
58847,1,0.928
58848,0,0.1512
58849,0,0.2057
58850,0,0.0322
58851,0,0.0452
58852,0,0.3679
58853,0,0.0278
58854,1,0.9903
58855,0,0.4721
58856,0,0.0068
58857,0,0.0941
58858,0,0.186
58859,0,0.0197
58860,0,0.0072
58861,0,0.0558
58862,0,0.1529
58863,0,0.3993
58864,0,0.0237
58865,0,0.3526
58866,0,0.0136
58867,0,0.0018
58868,0,0.0202
58869,0,0.0182
58870,0,0.1909
58871,0,0.0072
58872,0,0.0357
58873,0,0.0133
58874,1,0.9475
58875,0,0.012
58876,0,0.0154
58877,0,0.0042
58878,0,0.0206
58879,0,0.0256
58880,0,0.0069
58881,0,0.0174
58882,0,0.0053
58883,0,0.0958
58884,0,0.2037
58885,0,0.0602
58886,0,0.0032
58887,1,0.8686
58888,0,0.1942
58889,1,0.9379
58890,0,0.1488
58891,0,0.2686
58892,0,0.0455
58893,0,0.0172
58894,0,0.0546
58895,0,0.0056
58896,0,0.0066
58897,0,0.0443
58898,0,0.1072
58899,1,0.9433
58900,0,0.0155
58901,0,0.0722
58902,0,0.1405
58903,0,0.0064
58904,0,0.0384
58905,0,0.0054
58906,0,0.07
58907,0,0.1075
58908,0,0.0057
58909,0,0.0542
58910,0,0.0034
58911,0,0.0192
58912,0,0.003
58913,0,0.1078
58914,0,0.0157
58915,0,0.0241
58916,0,0.0219
58917,0,0.0783
58918,0,0.0181
58919,0,0.0155
58920,0,0.2866
58921,0,0.0129
58922,0,0.0462
58923,0,0.0091
58924,0,0.0356
58925,0,0.0273
58926,0,0.2456
58927,0,0.0257
58928,0,0.0922
58929,0,0.0034
58930,0,0.0217
58931,1,0.8272
58932,1,0.9021
58933,0,0.2082
58934,0,0.0637
58935,0,0.0247
58936,0,0.0416
58937,0,0.0161
58938,0,0.0148
58939,0,0.0218
58940,0,0.0125
58941,1,0.9347
58942,1,0.9004
58943,0,0.0135
58944,0,0.0242
58945,0,0.0438
58946,0,0.027
58947,0,0.0225
58948,0,0.0243
58949,0,0.0069
58950,0,0.4928
58951,0,0.0389
58952,0,0.0143
58953,0,0.0116
58954,1,0.9863
58955,0,0.0331
58956,0,0.0076
58957,1,0.9529
58958,1,0.9969
58959,0,0.006
58960,0,0.037
58961,0,0.0078
58962,0,0.1354
58963,0,0.0448
58964,0,0.0357
58965,0,0.0326
58966,0,0.0229
58967,0,0.0121
58968,0,0.0097
58969,0,0.262
58970,0,0.0102
58971,0,0.0986
58972,0,0.0807
58973,1,0.9638
58974,0,0.0548
58975,0,0.0781
58976,0,0.0381
