id,status_pred,prob
42100,0,0.1242
42101,0,0.0832
42102,0,0.392
42103,0,0.0784
42104,0,0.4828
42105,1,0.7917
42106,0,0.3669
42107,1,0.6163
42108,0,0.0026
42109,1,0.5981
42110,1,0.8224
42111,0,0.2105
42112,0,0.3859
42113,0,0.2466
42114,0,0.279
42115,1,0.6712
42116,0,0.0697
42117,0,0.2626
42118,1,0.9566
42119,1,0.9604
42120,1,0.964
42121,0,0.1047
42122,0,0.0028
42123,1,0.8431
42124,1,0.9259
42125,0,0.0136
42126,0,0.0281
42127,0,0.0084
42128,0,0.387
42129,1,0.5509
42130,1,0.8823
42131,0,0.2763
42132,1,0.5264
42133,1,0.9297
42134,0,0.297
42135,0,0.0034
42136,0,0.0323
42137,0,0.2557
42138,1,0.8531
42139,1,0.9092
42140,0,0.119
42141,0,0.3941
42142,0,0.382
42143,1,0.8724
42144,0,0.1405
42145,1,0.8593
42146,0,0.1105
42147,1,0.7158
42148,1,0.8266
42149,0,0.3523
42150,1,0.5831
42151,1,0.8329
42152,1,0.7853
42153,0,0.1635
42154,1,0.6976
42155,1,0.5104
42156,0,0.2529
42157,0,0.0081
42158,1,0.5131
42159,1,0.8383
42160,1,0.5448
42161,0,0.0037
42162,0,0.0692
42163,0,0.0859
42164,1,0.8045
42165,0,0.4999
42166,1,0.698
42167,0,0.001
42168,1,0.7727
42169,1,0.848
42170,0,0.0217
42171,0,0.0551
42172,0,0.2478
42173,1,0.9077
42174,0,0.1819
42175,0,0.4507
42176,1,0.8379
42177,0,0.2669
42178,0,0.042
42179,1,0.9497
42180,1,0.5703
42181,1,0.7917
42182,1,0.8738
42183,0,0.4251
42184,0,0.0629
42185,0,0.0796
42186,0,0.2324
42187,0,0.3065
42188,0,0.0194
42189,0,0.1186
42190,0,0.1519
42191,0,0.2754
42192,1,0.5315
42193,0,0.0782
42194,0,0.2384
42195,1,0.9718
42196,1,0.8063
42197,0,0.4133
42198,1,0.7828
42199,1,0.7711
42200,1,0.5318
42201,1,0.6091
42202,0,0.4882
42203,0,0.135
42204,1,0.7487
42205,0,0.2001
42206,0,0.0206
42207,1,0.7858
42208,0,0.0363
42209,0,0.3397
42210,0,0.1185
42211,0,0.1992
42212,0,0.2469
42213,1,0.8077
42214,1,0.8262
42215,0,0.1667
42216,1,0.9183
42217,0,0.176
42218,0,0.0367
42219,0,0.2857
42220,0,0.3021
42221,1,0.8272
42222,1,0.5693
42223,0,0.1253
42224,1,0.9542
42225,1,0.6866
42226,1,0.8877
42227,0,0.0621
42228,1,0.8434
42229,0,0.0523
42230,0,0.2355
42231,1,0.798
42232,0,0.4925
42233,0,0.3374
42234,1,0.5035
42235,0,0.0702
42236,0,0.0482
42237,1,0.8248
42238,0,0.3277
42239,0,0.2468
42240,1,0.9432
42241,1,0.8023
42242,0,0.1205
42243,1,0.9682
42244,0,0.1436
42245,1,0.5073
42246,1,0.955
42247,1,0.7808
42248,1,0.7262
42249,1,0.8877
42250,0,0.3902
42251,0,0.3684
42252,1,0.7042
42253,1,0.7903
42254,0,0.0755
42255,0,0.0497
42256,1,0.7442
42257,1,0.6348
42258,1,0.538
42259,1,0.8157
42260,1,0.7565
42261,1,0.8636
42262,1,0.9278
42263,1,0.9692
42264,0,0.1643
42265,1,0.7809
42266,0,0.0619
42267,0,0.219
42268,1,0.5088
42269,0,0.1433
42270,1,0.9308
42271,1,0.8807
42272,0,0.0486
42273,0,0.0123
42274,1,0.6859
42275,0,0.3263
42276,0,0.0785
42277,0,0.1094
42278,0,0.1015
42279,0,0.3678
42280,0,0.476
42281,0,0.0043
42282,0,0.3601
42283,0,0.1098
42284,1,0.5004
42285,0,0.0302
42286,0,0.0681
42287,1,0.6868
42288,0,0.2056
42289,1,0.8309
42290,0,0.0622
42291,1,0.8132
