id,loan_pred,prob
58645,1,0.9988
58646,0,0.0089
58647,1,0.8396
58648,0,0.0124
58649,0,0.0531
58650,1,0.9683
58651,0,0.0009
58652,0,0.004
58653,0,0.2986
58654,0,0.0181
58655,0,0.066
58656,0,0.0222
58657,0,0.0189
58658,0,0.0006
58659,0,0.0145
58660,0,0.0797
58661,0,0.0155
58662,0,0.0012
58663,0,0.04
58664,0,0.0006
58665,0,0.0158
58666,0,0.079
58667,0,0.0002
58668,0,0.0045
58669,0,0.0037
58670,0,0.0002
58671,0,0.1705
58672,0,0.0014
58673,1,0.9806
58674,0,0.0004
58675,0,0.0211
58676,0,0.0461
58677,0,0.0463
58678,0,0.0036
58679,0,0.2773
58680,1,0.9094
58681,0,0.0854
58682,0,0.002
58683,0,0.0003
58684,0,0.2045
58685,0,0.3391
58686,0,0.0234
58687,1,0.5514
58688,0,0.1937
58689,0,0.2759
58690,0,1e-04
58691,0,0.0146
58692,0,0.0063
58693,0,0.0009
58694,0,0.4837
58695,1,0.9019
58696,0,0.0081
58697,0,0.0778
58698,0,0.0084
58699,0,0.0028
58700,0,0.0044
58701,0,0.0024
58702,0,0.0202
58703,0,0.1601
58704,0,0.3389
58705,0,0.0757
58706,0,0.0215
58707,0,0.0052
58708,0,0.0425
58709,1,0.9683
58710,0,0.0519
58711,1,0.9321
58712,0,0.0811
58713,0,0.0002
58714,0,0.0187
58715,0,0.0033
58716,0,0.2039
58717,0,0.0217
58718,0,0.035
58719,0,0.0004
58720,0,1e-04
58721,0,0.232
58722,0,0.2058
58723,0,0.0054
58724,0,0.0063
58725,0,0.013
58726,0,0.0102
58727,0,0.1634
58728,0,0.1596
58729,0,0.0028
58730,0,0.0007
58731,0,0.004
58732,0,0.3177
58733,0,0.0002
58734,0,0.002
58735,0,0.0155
58736,0,0.0454
58737,0,0.0128
58738,1,0.9987
58739,0,0.1404
58740,1,0.8789
58741,0,0.0987
58742,0,0.0018
58743,0,0.0071
58744,0,0.0018
58745,0,0.0026
58746,0,0.0497
58747,0,0.0003
